id,category,gold,pred,correct,truncated,n_tokens
7f21620f,cryptarithm_deduce,")""/{",(^!,0,0,1009
ca85809b,cryptarithm_deduce,%!^&,]%`[,0,0,882
2d89386e,cryptarithm_deduce,:,@@,0,0,813
f2a25cf9,cryptarithm_deduce,:!,{:{`,0,0,863
d7bcb4a6,cryptarithm_deduce,}{,+>%,0,0,1147
be7a9eb1,cryptarithm_deduce,[]`',%%?>,0,0,1040
b2a8384e,cryptarithm_deduce,-$,-#<,0,0,1094
a26065d4,cryptarithm_deduce,<',$],0,0,879
a12f00f4,cryptarithm_deduce,$:[,$\\,0,0,933
162ff61a,cryptarithm_deduce,?!,&]!,0,0,1586
e582df31,cryptarithm_deduce,}@,"?"":",0,0,1285
56ac76c6,cryptarithm_deduce,>&{,`{,0,0,959
23c59364,cryptarithm_deduce,>/,"""'",0,0,1300
eac0e775,cryptarithm_deduce,<@<(,<@<(,1,0,353
9f8fda8a,cryptarithm_deduce,\#,!!#|,0,0,1111
ae4aef23,cryptarithm_deduce,%<<,<<!,0,0,801
9cc02bc1,cryptarithm_deduce,:#:',:#:',1,0,471
d350828e,cryptarithm_deduce,}!||,||,0,0,1474
bb9dd0ad,cryptarithm_deduce,/^//,#?\,0,0,1118
d23f4166,cryptarithm_deduce,{|)@,#|'',0,0,823
434ca68a,cryptarithm_deduce,%&&,&[%%,0,0,1384
f80d2e10,cryptarithm_deduce,{)^],?@&,0,0,1058
712fe3e4,cryptarithm_deduce,:#$#,"'#""",0,0,819
23b0eb54,cryptarithm_deduce,]/:),]:/),0,0,329
d6c03e21,cryptarithm_deduce,&(`#,&(`#,1,0,417
ff0e37ae,cryptarithm_deduce,"%'""`","%'""`",1,0,362
42bde66c,cryptarithm_deduce,>),/?,0,0,874
dbdbbaa3,cryptarithm_deduce,>'',>#(>,0,0,724
02b8d816,cryptarithm_deduce,>$$>,>$$>,1,0,348
6beb3a1f,cryptarithm_deduce,??,?[,0,0,740
d29e19a4,cryptarithm_deduce,?|,>#&,0,0,1138
41554020,cryptarithm_deduce,?:,"-""""",0,0,1256
a0db1e75,cryptarithm_deduce,"-""!",6,0,1,7680
10b71e8a,cryptarithm_deduce,#}:,@>,0,0,1035
f06547b1,cryptarithm_deduce,"[%""",<[<,0,0,1304
191ac967,cryptarithm_deduce,!>,<|$?,0,0,1190
8494aad3,cryptarithm_deduce,"""`#&","&!^""",0,0,788
923ac2b5,cryptarithm_deduce,#'<@,@,0,0,816
dc6c0d49,cryptarithm_deduce,:>?#,>|?,0,0,1319
cd2e20b9,cryptarithm_deduce,||`,/`,0,0,667
cad4b9a7,cryptarithm_deduce,"#""^",@((,0,0,712
9346686a,cryptarithm_deduce,:(,/!,0,0,791
3e5c7d9b,cryptarithm_deduce,-(|,]/,0,0,800
f7d26b8d,cryptarithm_deduce,/@,-}@,0,0,1070
a88f9fe3,cryptarithm_deduce,<],##\,0,0,742
802c3591,cryptarithm_deduce,"`""""""",#@#?,0,0,1535
f7828fc1,cryptarithm_deduce,"@${""","@^""/",0,0,922
d7662688,cryptarithm_deduce,]&]],]&]],1,0,330
3b206148,cryptarithm_deduce,!>?,!&@,0,0,797
1fb37a08,cryptarithm_deduce,$!:,$|<$,0,0,868
1d15b7e6,cryptarithm_deduce,|['{,![},0,0,1124
4de466bf,cryptarithm_deduce,^[,#,0,0,983
df3262bc,cryptarithm_deduce,]/,?|,0,0,1051
a1503629,cryptarithm_deduce,@)[[,*'[',0,0,748
7a5cfe3e,cryptarithm_deduce,-#>,-/&,0,0,833
ba7d54c4,cryptarithm_deduce,>((<,>@',0,0,1078
9eaae1f1,cryptarithm_deduce,/\,-+|,0,0,1088
2ff200fb,cryptarithm_deduce,)^,#?,0,0,767
9fbd6a44,cryptarithm_deduce,::'',>@\,0,0,1112
9081e954,cryptarithm_deduce,}{#,^{@,0,0,1001
12734c90,cryptarithm_deduce,]@>[,]>,0,0,1352
a610040a,cryptarithm_deduce,:(|:,<(&?,0,0,1216
7cac497a,cryptarithm_deduce,"%""""`","/""#[",0,0,940
810028f1,cryptarithm_deduce,-&\,-&@,0,0,1035
a77be9fa,cryptarithm_deduce,"[""","$$"">",0,0,1144
b9f1d959,cryptarithm_deduce,:>,\\,0,0,920
46fcfa9c,cryptarithm_deduce,-@?,-$>,0,0,1094
35a562bd,cryptarithm_deduce,(%(?,#@##,0,0,776
0b0a3643,cryptarithm_deduce,"""""","-""",0,0,1066
67995540,cryptarithm_deduce,|%@,|(@,0,0,1112
c05828eb,cryptarithm_deduce,-!|,-)),0,0,915
9b4cffb2,cryptarithm_deduce,&@<,"!'""",0,0,801
b391ffe1,cryptarithm_deduce,#!,>`>,0,0,737
